# blastn
# Iteration: 0
# Query: 
# RID: 5VTKN45E013
# Database: nt
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 12 hits found
Query_12927	AP022822.1	99.649	570	2	0	1	570	508544	509113	0.0	1042
Query_12927	LR607372.1	79.505	566	106	8	1	561	559428	559988	2.55e-107	394
Query_12927	LR607335.1	79.505	566	106	8	1	561	895247	895807	2.55e-107	394
Query_12927	CP012366.1	79.505	566	106	8	1	561	1950686	1951246	2.55e-107	394
Query_12927	CP077320.1	79.505	566	106	8	1	561	2212162	2212722	2.55e-107	394
Query_12927	CP065535.1	79.505	566	106	8	1	561	602255	602815	2.55e-107	394
Query_12927	CP012384.1	79.505	566	105	9	1	561	878963	879522	9.16e-107	392
Query_12927	CP021874.1	78.533	559	113	7	1	555	319472	320027	2.58e-97	361
Query_12927	CP013614.1	77.758	562	121	4	1	560	1494072	1493513	9.36e-92	342
Query_12927	CP013655.1	77.699	565	118	8	1	561	3469710	3469150	1.21e-90	339
Query_12927	CP023074.1	76.937	568	123	7	1	561	2236279	2235713	5.67e-84	316
Query_12927	CP078552.1	76.937	568	123	7	1	561	2236279	2235713	5.67e-84	316


